SpatialDim,TimeDim,Obesity,Undernourishment
GBR,2000,20.1,1.9
GBR,2000,20.1,1.5
GBR,2000,20.1,1.0
IND,2011,5.2,23.0
IND,2011,5.2,24.5
IND,2011,5.2,23.8
IND,2003,3.2,31.1
IND,2003,3.2,30.3
IND,2003,3.2,31.9
GBR,2009,23.3,1.4
GBR,2009,23.3,1.7
GBR,2009,23.3,1.1
GBR,2012,24.8,1.1
GBR,2012,24.8,1.7
GBR,2012,24.8,1.4
KEN,2005,5.7,13.9
KEN,2005,5.7,17.3
KEN,2005,5.7,10.6
USA,1994,21.9,1.1
USA,1994,21.9,2.7
USA,1994,21.9,1.9
IND,2019,8.1,16.3
IND,2019,8.1,15.5
IND,2019,8.1,17.2
LKA,2001,2.6,26.5
LKA,2001,2.6,28.6
LKA,2001,2.6,24.5
IND,2018,7.7,16.4
IND,2018,7.7,17.2
IND,2018,7.7,18.0
IND,2014,6.1,20.0
IND,2014,6.1,21.7
IND,2014,6.1,20.8
USA,1996,23.7,2.5
USA,1996,23.7,1.0
USA,1996,23.7,1.8
KEN,2007,9.4,10.3
KEN,2007,9.4,13.5
KEN,2007,9.4,16.8
LKA,2018,5.1,13.0
LKA,2018,5.1,17.0
LKA,2018,5.1,14.9
USA,2022,40.8,2.1
USA,2022,40.8,1.7
USA,2022,40.8,1.4
USA,2018,41.0,1.2
USA,2018,41.0,2.1
USA,2018,41.0,1.7
GBR,1990,13.4,2.2
GBR,1990,13.4,1.3
GBR,1990,13.4,3.0
USA,2005,33.2,2.2
USA,2005,33.2,1.0
USA,2005,33.2,1.6
KEN,1991,1.3,20.5
KEN,1991,1.3,11.7
KEN,1991,1.3,16.0
IND,1991,0.9,40.1
IND,1991,0.9,40.5
IND,1991,0.9,41.1
KEN,2000,6.1,14.8
KEN,2000,6.1,18.5
KEN,2000,6.1,11.2
LKA,2005,2.0,21.4
LKA,2005,2.0,25.7
LKA,2005,2.0,23.5
GBR,2022,26.1,1.8
GBR,2022,26.1,1.7
GBR,2022,26.1,1.7
USA,1995,24.7,1.0
USA,1995,24.7,1.9
USA,1995,24.7,2.6
USA,2000,25.9,2.3
USA,2000,25.9,1.0
USA,2000,25.9,1.7
LKA,2010,5.0,17.7
LKA,2010,5.0,22.0
LKA,2010,5.0,19.8
KEN,2003,7.4,14.3
KEN,2003,7.4,10.9
KEN,2003,7.4,17.8
USA,2006,33.0,1.0
USA,2006,33.0,1.6
USA,2006,33.0,2.2
IND,2017,3.8,17.3
IND,2017,3.8,18.9
IND,2017,3.8,18.1
LKA,2012,5.7,18.4
LKA,2012,5.7,16.4
LKA,2012,5.7,20.6
KEN,2008,10.0,10.2
KEN,2008,10.0,16.6
KEN,2008,10.0,13.3
IND,2016,6.9,19.8
IND,2016,6.9,19.0
IND,2016,6.9,18.2
USA,2003,29.1,2.3
USA,2003,29.1,1.7
USA,2003,29.1,1.0
KEN,2011,7.8,15.9
KEN,2011,7.8,12.8
KEN,2011,7.8,9.7
LKA,1996,2.6,31.7
LKA,1996,2.6,28.4
LKA,1996,2.6,30.0
KEN,1996,1.7,11.5
KEN,1996,1.7,19.4
KEN,1996,1.7,15.4
KEN,2006,6.1,17.0
KEN,2006,6.1,13.7
KEN,2006,6.1,10.5
GBR,2013,25.8,1.5
GBR,2013,25.8,1.7
GBR,2013,25.8,1.2
LKA,2022,10.6,12.9
